regulon	threshold	nCellsAssigned	AUCellComment	nGenes	clusteringOrder	clusterGroup	onlyNonDuplicatedExtended	personalNotes
SMC3_extended (108g)	0.119	34	 The global distribution overlaps the partial distributions. 	108	1	4	TRUE	
SP2_extended (23g)	0.245	68		23	2	4	TRUE	
NFYB_extended (98g)	0.177	414		98	3	4	FALSE	
NFYB (54g)	0.214	399		54	4	4	TRUE	
BRCA1_extended (1931g)	0.258	549		1931	5	4	FALSE	
BRCA1 (1499g)	0.0811	19933		1499	6	4	TRUE	
MAZ_extended (1284g)	0.224	377		1284	7	4	TRUE	
E2F1_extended (2224g)	0.312	434		2224	8	4	FALSE	
E2F1 (2049g)	0.289	447		2049	9	4	TRUE	
TFDP1_extended (1643g)	0.253	440		1643	10	4	FALSE	
TFDP1 (1357g)	0.218	463		1357	11	4	TRUE	
YBX1_extended (810g)	0.141	245		810	12	4	TRUE	
IRF3_extended (168g)	0.161	38	 The global distribution overlaps the partial distributions. 	168	13	4	TRUE	
MAFG_extended (37g)	0.226	70	 The global distribution overlaps the partial distributions. 	37	14	4	TRUE	
ESRRA_extended (25g)	0.295	131	 The global distribution overlaps the partial distributions. 	25	15	4	TRUE	
SREBF2_extended (108g)	0.109	55	 The global distribution overlaps the partial distributions. 	108	16	4	TRUE	
HCFC1_extended (63g)	0.157	102		63	17	4	TRUE	
YY1_extended (584g)	0.165	3	The AUC might follow a normal distribution (random gene-set?).  The global distribution overlaps the partial distributions. 	584	18	4	FALSE	
YY1 (292g)	0.167	0	The AUC might follow a normal distribution (random gene-set?).  The global distribution overlaps the partial distributions. 	292	19	4	TRUE	
RELA_extended (60g)	0.232	3	The AUC might follow a normal distribution (random gene-set?).  The global distribution overlaps the partial distributions. 	60	20	4	FALSE	
RELA (36g)	0.171	109	 The global distribution overlaps the partial distributions. 	36	21	4	TRUE	
SP3_extended (198g)	0.152	0	The AUC might follow a normal distribution (random gene-set?).  The global distribution overlaps the partial distributions. 	198	22	3	FALSE	
SP3 (157g)	0.159	0	The AUC might follow a normal distribution (random gene-set?).  The global distribution overlaps the partial distributions. 	157	23	3	TRUE	
RELB_extended (70g)	0.204	53	 The global distribution overlaps the partial distributions. 	70	24	3	FALSE	
RELB (66g)	0.202	77	 The global distribution overlaps the partial distributions. 	66	25	3	TRUE	
BCLAF1_extended (906g)	0.216	263	 The global distribution overlaps the partial distributions. 	906	26	3	TRUE	
JUN_extended (563g)	0.159	681		563	27	3	FALSE	
