"","Uninfected_blood_CD4+ Treg","Uninfected_blood_CD4+ Naive","Uninfected_blood_CD4+ EM","Uninfected_blood_CD4+ CTL","Uninfected_blood_CD4+ Proliferating","Acute-Infected_blood_CD4+ CTL","Acute-Infected_blood_CD4+ Naive","Acute-Infected_blood_CD4+ EM","Acute-Infected_blood_CD4+ Treg","Acute-Infected_blood_CD4+ Proliferating","Uninfected_brain_CD4+ CTL","Uninfected_brain_CD8+ Effector","Acute-Infected_brain_CD8+ Effector","Acute-Infected_brain_CD4+ CTL"
"RUNX2 (45g)",0.0305133007736306,0.131252919360071,0.130971012869459,0.0409798038602885,0.00157908997603895,0.135625110814932,0.232625037289609,0.119954515823102,0.0435624761965983,0.0445354875252816,0.157456927649252,0.105946691870859,0.050556065220166,0.0555746973748583
"ETS1 (2885g)",0.0259923745311768,0.147885240981823,0.102730841372365,0.034347983158678,0.0012754941522416,0.132625913971126,0.281988240757554,0.107384086677086,0.0443376454314188,0.0440664950413433,0.144924741554704,0.101110113604609,0.0564531290084831,0.0587708153465177
"TFDP2 (260g)",0.0229827954505241,0.134242060527919,0.0899004351234282,0.0346149167811618,0.00154071571296788,0.14078679008999,0.247140998667369,0.0909971779698963,0.0384398120176925,0.0523534037375379,0.181089976419458,0.123791726036853,0.0616650918443769,0.0639543956261472
"NR3C1 (1080g)",0.0254117203128355,0.138114333765047,0.101171367541518,0.0363207508338383,0.00143039880902274,0.138156703853169,0.253913838344116,0.100515153809736,0.0409795717535957,0.0454504607921743,0.16830538594471,0.117955784031966,0.0595645031634943,0.0621346933562277
"ELF1 (1666g)",0.0259629521885266,0.143116958881957,0.101691507425732,0.0352678643247617,0.00133693724463335,0.133439670876374,0.264907714891892,0.102431130590659,0.0426488953446655,0.0427467787540062,0.159083166931938,0.1137481605362,0.0606448682167198,0.0607335176753999
"BDP1 (69g)",0.0252866471672725,0.150250621147222,0.101596430960505,0.0344175384635007,0.00130729274502572,0.125979848198998,0.264996701978764,0.0987336015281298,0.0421040281036668,0.0411931832885227,0.161893854064052,0.111557170449388,0.0517345831397893,0.0559814740973968
"NRF1 (193g)",0.0264767832629689,0.158850768941006,0.100478160996642,0.0321530056829297,0.0013449617393374,0.116476548082674,0.294369022557312,0.104926029671058,0.0437744890263749,0.0497118892555608,0.141458775706478,0.0958473263059126,0.0489021372811896,0.0523528286993521
"TAF1 (115g)",0.0268777967082723,0.15489385159604,0.10209573229096,0.0343033356668727,0.0011878578377239,0.123120370613299,0.284734383993238,0.106309294924174,0.0451947425212696,0.0371761184536074,0.146410535005525,0.102473517502844,0.0508548679984708,0.0531468311632273
"EP300 (156g)",0.0270789101210329,0.1574766554554,0.105856402160205,0.0348810547021416,0.00124730090601699,0.123977975517549,0.286018031872943,0.108029123976147,0.0445259910211998,0.0367242493229968,0.143061951668275,0.0983703422313104,0.0505849728947398,0.0527785938386685
"JUN (294g)",0.0277765289057361,0.147013475972344,0.110495261189338,0.0330073211265722,0.00105659719078788,0.125510264429988,0.293537273372488,0.111083556811089,0.0459480161855367,0.0396340747994159,0.129020751663087,0.0929737053510029,0.0552274524891503,0.061636035279055
