regulon	threshold	nCellsAssigned	AUCellComment	nGenes	clusteringOrder	clusterGroup	onlyNonDuplicatedExtended	personalNotes
SPIB_extended (184g)	0.0822	351		184	1	3	FALSE	
SPIB (137g)	0.0809	347		137	2	3	TRUE	
RFX5_extended (23g)	0.0716	618		23	3	3	FALSE	
RFX5 (20g)	0.0816	619		20	4	3	TRUE	
IRF8_extended (262g)	0.0627	727		262	5	3	FALSE	
IRF8 (137g)	0.0711	659		137	6	3	TRUE	
ELF4_extended (59g)	0.0803	0	The AUC might follow a normal distribution (random gene-set?).  The global distribution overlaps the partial distributions. 	59	7	3	TRUE	
BATF_extended (17g)	0.0207	997		17	8	3	TRUE	
NFE2L2_extended (15g)	0.0162	1995	 The global distribution overlaps the partial distributions. 	15	9	3	FALSE	
NFE2L2 (11g)	0.0247	1893	 The global distribution overlaps the partial distributions. 	11	10	3	TRUE	
IKZF1_extended (89g)	0.1	1	The AUC might follow a normal distribution (random gene-set?). 	89	11	3	TRUE	
IRF1_extended (82g)	0.117	0	The AUC might follow a normal distribution (random gene-set?). 	82	12	3	FALSE	
IRF1 (20g)	0.137	12	 The global distribution overlaps the partial distributions. 	20	13	3	TRUE	
RELB_extended (45g)	0.0677	101	 The global distribution overlaps the partial distributions. 	45	14	3	FALSE	
RELB (33g)	0.0734	123	 The global distribution overlaps the partial distributions. 	33	15	3	TRUE	
ATF3_extended (108g)	0.0605	561		108	16	3	FALSE	
CEBPA_extended (58g)	0.0925	641		58	17	3	FALSE	
CEBPA (21g)	0.107	568		21	18	3	TRUE	
ETV6_extended (166g)	0.0435	401	 The global distribution overlaps the partial distributions. 	166	19	3	TRUE	
IRF5_extended (59g)	0.0509	279	 The global distribution overlaps the partial distributions. 	59	20	3	TRUE	
KLF3_extended (109g)	0.113	2	The AUC might follow a normal distribution (random gene-set?).  The global distribution overlaps the partial distributions. 	109	21	3	TRUE	
SMARCA4_extended (91g)	0.0717	1	The AUC might follow a normal distribution (random gene-set?).  The global distribution overlaps the partial distributions. 	91	22	3	TRUE	
FOSL2_extended (41g)	0.0494	232	 The global distribution overlaps the partial distributions. 	41	23	3	FALSE	
FOSL2 (11g)	0.0392	750		11	24	3	TRUE	
IRF7_extended (416g)	0.135	339		416	25	3	FALSE	
IRF7 (191g)	0.0888	67	 The global distribution overlaps the partial distributions. 	191	26	3	TRUE	
FOSB_extended (63g)	0.275	0	The AUC might follow a normal distribution (random gene-set?).  The global distribution overlaps the partial distributions. 	63	27	3	TRUE	
