"","Memory CD4 T","B","CD14+ Mono","NK","CD8 T","FCGR3A+ Mono","Naive CD4 T","DC","Platelet"
"SPIB (137g)",0.185149539428154,0.254477489930974,0.186302581032187,0.0673566768147379,0.119703241863234,0.0823889998892958,0.235563501091346,0.0299210097237925,0.00525168456672553
"RFX5 (20g)",0.0709109237680744,0.329299165336126,0.241382085536165,0.0411231755787836,0.0832461539925086,0.135074334134456,0.0776226726437079,0.0631099078840784,0.0020296305052343
"IRF8 (137g)",0.152684210678673,0.246475213625498,0.245088498959102,0.065142000036759,0.108490653178202,0.10862448304759,0.197994638174724,0.0378421643436115,0.00676922015240156
"NFE2L2 (11g)",0.145473985527365,0.108438684527709,0.274159509252616,0.0992925979000043,0.108180801914631,0.145940020320957,0.152259112946699,0.0249127418017721,0.0142913605857199
"IRF1 (20g)",0.19360925993798,0.12694875555295,0.198258316714997,0.115266007483618,0.150127678212568,0.107410350689777,0.217392512109063,0.0239794684071508,0.00745085183916783
"RELB (33g)",0.160016785470817,0.159984296618662,0.274527786995656,0.0555770051509338,0.103510483741346,0.123245426743399,0.192011577774495,0.0237959171659639,0.014762618344459
"CEBPA (21g)",0.129989497027856,0.112574793888895,0.393195121968225,0.0604742883136408,0.0915470444703906,0.130863819096738,0.168388139354578,0.0263366045441267,0.0109424435130896
"FOSL2 (11g)",0.0589080358284302,0.0476665498954321,0.398322684373441,0.0386028139108147,0.0468104725388633,0.202439164427064,0.0734253872611779,0.025633134118266,0.0111717347251648
"IRF7 (191g)",0.192088322828405,0.15198117950082,0.227175544754313,0.0965864686661979,0.136604108023389,0.112421501855081,0.230400276992234,0.0264110905590157,0.00932981062827276
"NFE2 (128g)",0.151639174954113,0.116490336470697,0.339131604751338,0.0741982469122647,0.105493940944899,0.127076520982847,0.183750793513455,0.0350595021233686,0.0358992287870926
"KLF4 (168g)",0.190494597472322,0.106444152268456,0.289971252065055,0.0846524458027792,0.124894851733251,0.132299633661449,0.201735981026338,0.0323539968412653,0.00912859054284176
"SPI1 (1122g)",0.179688651993518,0.141380230375991,0.274608409947769,0.0829198784414197,0.121341924938394,0.126121601798297,0.214535776366551,0.0306607233966093,0.0125865595103976
"POLE3 (44g)",0.198547169679299,0.159768190313531,0.194057540068291,0.101023785039337,0.13899442360678,0.0763919574836223,0.255603091719888,0.0249094162212707,0.00572692540469011
"STAT1 (180g)",0.209360265851231,0.15373300763111,0.207547851793825,0.0818085959191259,0.135385927842796,0.0874602491777957,0.266882244007876,0.023063445021984,0.00551020849503625
"IRF2 (26g)",0.208913637682241,0.115130521492603,0.190699862940757,0.108042634853232,0.136005882381353,0.0998149398265307,0.21002037997183,0.0294589825276226,0.0122973015048089
"TBL1XR1 (16g)",0.168014837242474,0.101297226236756,0.241076841822254,0.0760309321545881,0.113069082783496,0.117106952927145,0.154189647940349,0.0349256721242229,0.0195362063848847
"MAX (77g)",0.197176352755717,0.150287743548643,0.226111333771814,0.0797240935012716,0.129001943504322,0.0950475780293585,0.252578319362327,0.0255710471261144,0.0241876656595029
"ATF3 (37g)",0.142391797136476,0.102053045411274,0.300528585540605,0.0613127148924308,0.0982942451636913,0.114931215124337,0.180875506437025,0.0256065323843309,0.0149755244931928
"KLF11 (11g)",0.202818492649326,0.149563792661758,0.184550671441791,0.0810489873281193,0.120554442646658,0.0897741327152587,0.250556169278816,0.0240208923511886,0.00514167432613466
"ELF1 (55g)",0.206447604491862,0.129315835343866,0.132344244949171,0.0972673217745507,0.136570353371704,0.0691079513457616,0.280229111988121,0.0175395256139933,0.0162076758773735
"TRIM69 (24g)",0.201226477904329,0.132220472127161,0.148020742793715,0.083282016248982,0.14179297579563,0.0735681002819615,0.237042161090926,0.0167675585998502,0.011070820110855
"YY1 (68g)",0.207145750873718,0.158839050090654,0.192650505204686,0.0814051934508809,0.135775368810159,0.0774650361642085,0.266635425553116,0.0272002526401719,0.0156194222416191
"REL (54g)",0.172802951010243,0.178022194599487,0.15627961322275,0.0731833941829375,0.122147898115505,0.0700937310309186,0.257996739028156,0.0186243601331479,0.0170584005553353
"KLF12 (25g)",0.127991715118476,0.0951032622385861,0.0780864281000919,0.0574495131850401,0.101794714828168,0.0228588846485734,0.199076400905013,0.0163734732111873,0.0119385234372397
"GTF2B (16g)",0.13211805862042,0.082249681171701,0.178503754583774,0.0562567252917555,0.0814114202885119,0.0902211817074108,0.148456425570166,0.0276943809746336,0.0108192635038268
"UTP18 (13g)",0.101479867880113,0.0792699826641964,0.114318251252946,0.048430311653208,0.0879184902609265,0.0218752190757909,0.139315067615499,0.007189305600109,0.0150659131780749
"KLF13 (12g)",0.097212241782603,0.0769322140816235,0.0911376235524667,0.0593077501767995,0.0731420169203417,0.0273336071633634,0.113282611633171,0.00158203141037216,0.0389092881739432
"CTCF (15g)",0.213378179287566,0.162554650702973,0.175002050849139,0.0768409264273058,0.139140144677542,0.080728222187383,0.278008785841421,0.025256691091657,0.00460199074059298
"THAP1 (18g)",0.231213374088593,0.119633622418524,0.0812643194689864,0.116635047339389,0.164783031473172,0.0579135490045064,0.265764502482103,0.0225965596332802,0.0176316382443226
"DBP (31g)",0.221507815781866,0.135214305067872,0.0941734379099691,0.108057948861718,0.143880414354184,0.0550388837982296,0.258955404254375,0.0216512123337416,0.0186928182049749
"XBP1 (18g)",0.215147364426378,0.135263855538089,0.173505287293347,0.104555750682232,0.157649218172105,0.0798391602292042,0.252583835297468,0.0193490164746807,0.0147650494139012
"TBX21 (23g)",0.0837165855689689,0.0514092393901427,0.0606087032519963,0.292236794004143,0.312216358396507,0.0485647368264336,0.0934987891092299,0.00652190201446912,0.0117001060862214
"HOXB2 (13g)",0.170645756963357,0.0853472034640123,0.0431892317779485,0.185454224824927,0.200092006316165,0.0150540184155269,0.206492948459756,0.00691846153744125,0.00541936534751108
"ATF1 (19g)",0.216612051537521,0.165184044609835,0.170478046442187,0.0743792885089436,0.136178280295209,0.0730171604712136,0.287880397944181,0.0243928044572825,0.00471743790030621
"ELK3 (24g)",0.210464376375259,0.163639212423722,0.174661643542574,0.0649855101136569,0.137454342141391,0.0741960924220807,0.28488443797845,0.0224798727750255,0.00347512768427594
"POLR2A (64g)",0.229642694564876,0.1461503760125,0.161541813685165,0.0773465800914859,0.142077132724582,0.0623307064327541,0.295491655104157,0.0205917710496967,0.00714948412012495
"BCLAF1 (22g)",0.212677761133066,0.159340939807377,0.161161832610602,0.0949431820186181,0.13922259596949,0.0654424090280432,0.282667909665689,0.0219950394804889,0.00529156025358257
"ZNF143 (14g)",0.228896639215427,0.163552409366878,0.110864801780111,0.0418450054348168,0.136697970123984,0.0473521575873693,0.320798170715933,0.0219586132277162,0.00291345833614798
"ETS1 (86g)",0.221345736423422,0.156117065783245,0.165386146627364,0.0832209072398945,0.150549115206986,0.0727761141316241,0.290331009656478,0.0207864122249716,0.00355173146236787
"FLI1 (220g)",0.208949891439871,0.156873367595699,0.196196334369336,0.0853829643987036,0.138127198094082,0.0896708998137824,0.267166205151038,0.0228976001810383,0.00905696202027595
"KLF2 (142g)",0.225042726010955,0.146376478469636,0.172262767221499,0.087863179254594,0.145265104214607,0.0785692575704017,0.276796930725495,0.0221706182661638,0.00775663611213762
"ELF2 (53g)",0.230451612657747,0.146640367146458,0.141317319336492,0.0760411043787621,0.141778704759333,0.0778687091206344,0.286795867626031,0.0203439664845817,0.00475094182948255
"ATF4 (144g)",0.214371344554624,0.160350985382746,0.186578375628114,0.0770250740667988,0.1321143074544,0.0855282530799659,0.278945422050485,0.0233099907757882,0.0107872022486089
