"","gene_name","module","kME"
"1","FTL","MG-M1",0.465307110976338
"2","C1QC","MG-M1",0.367011298295283
"3","RPLP1","MG-M1",0.34254307505543
"4","RPL13","MG-M1",0.337657924087484
"5","ACTB","MG-M1",0.309339221689443
"6","TPT1","MG-M1",0.3059004283067
"7","C1QB","MG-M1",0.305164724794636
"8","RPL28","MG-M1",0.30482860441738
"9","RPS19","MG-M1",0.301161138445207
"10","RPS27A","MG-M1",0.300173015516418
"11","SORL1","MG-M2",0.476416117438547
"12","HS3ST4","MG-M2",0.466318699544451
"13","ABCC4","MG-M2",0.443128026371254
"14","ANKRD44","MG-M2",0.435496749320674
"15","FRMD4A","MG-M2",0.418702824400499
"16","SYNDIG1","MG-M2",0.418503420430809
"17","CYFIP1","MG-M2",0.413544518453491
"18","SFMBT2","MG-M2",0.411376892726958
"19","ARHGAP22","MG-M2",0.41038756108692
"20","FMNL3","MG-M2",0.403899167232153
"21","FAM49A","MG-M3",0.355816973354638
"22","SEC14L1","MG-M3",0.341946119627603
"23","PRKAG2","MG-M3",0.335752064409187
"24","CPVL","MG-M3",0.324585197374941
"25","RAPGEF1","MG-M3",0.319781273740914
"26","ASAH1","MG-M3",0.316976040010536
"27","LRRK2","MG-M3",0.314995817956927
"28","TNFRSF1B","MG-M3",0.309228790533303
"29","MSR1","MG-M3",0.302764711684661
"30","PELI1","MG-M3",0.302286942292834
"31","PTPN2","MG-M4",0.502708829920008
"32","SLC11A1","MG-M4",0.501130780328658
"33","ACSL1","MG-M4",0.488385036095876
"34","SPATA6","MG-M4",0.471718299902372
"35","TBC1D14","MG-M4",0.460306418940134
"36","TMEM163","MG-M4",0.452155320906964
"37","ERC2","MG-M4",0.438457474695755
"38","DPYD","MG-M4",0.421549865651298
"39","CD163","MG-M4",0.413585767840871
"40","TLR2","MG-M4",0.412901694216733
