"","EX","INH","ASC","OPC","MG","ODC"
"black",0.389911843803335,0.14490457353098,0.0999442019840151,0.112238404470639,0.0230448688067753,0.195599016114778
"blue",0.257232021001249,0.137849863562555,0.106296337669431,0.0557271205194594,0.0429754122194831,0.411547254463024
"brown",0.462753261565537,0.178418209747091,0.0276826920471275,0.0646376868368035,0.0574930477882197,0.164010953785587
"cyan",0.446029613775331,0.274175734302155,0.0378151271520427,0.0650495915295657,0.00849097871233495,0.0785485307298877
"green",0.389542530407185,0.201778785729477,0.0881942191482032,0.0520618473521995,0.041035296515126,0.210805244162838
"greenyellow",0.296328854009467,0.14101618609049,0.0939655743447577,0.0661376615352643,0.0259325358118041,0.384996055641888
"grey60",0.368601998900639,0.155229354667146,0.0883170402885416,0.0628112818254405,0.0204625522333497,0.292028248951046
"lightcyan",0.409998831765227,0.179317430076855,0.0890291582858485,0.0315262020291174,0.0335916834518414,0.171757796657478
"lightgreen",0.0464202437671667,0.0131569479038433,0.0207835299275403,0.0236134407589749,0.0139684823234476,0.793520369311441
"lightyellow",0.157726965941746,0.0702952939718641,0.066861005459387,0.0411547083721313,0.0369632502030391,0.602864078873182
"magenta",0.364462812175834,0.222029158408759,0.123246417710477,0.0777714137783386,0.018083199942544,0.1858664864336
"midnightblue",0.329486026170642,0.188685804177396,0.144630778789475,0.075066667214949,0.0623059710280246,0.204515629806654
"pink",0.31056665026762,0.151835669178678,0.11624708619793,0.0582276418957893,0.0490401238034541,0.336321699546954
"purple",0.360462714964543,0.195280171184377,0.125391658754951,0.0797017485871869,0.00432124758851171,0.240228588291941
"red",0.437119129317293,0.21764719754421,0.0710514824172082,0.0439895292358106,0.0331585204414897,0.181748739908517
"royalblue",0.416488309810781,0.233590449245871,0.025322486439247,0.0480015232135514,0.0111447110827686,0.22496633096202
"salmon",0.352171933720135,0.186057046592456,0.108427932732251,0.0525664278004253,0.0444932517085131,0.270509310345066
"tan",0.341239536143967,0.190565213594351,0.083922236982702,0.0630854463706249,0.0339716798171931,0.273729494292442
"turquoise",0.406549679077381,0.137390317284077,0.0722817761028541,0.0215011489035539,0.0246099820183756,0.180111192663165
"yellow",0.255784061188298,0.12174154446716,0.107292784554678,0.0608361565328467,0.0105064322513458,0.390650761589692
