"","gene_name","module","kME"
"1","ANKRD30BL","red",0.373683869355917
"2","CACNA1B","red",0.371345891468706
"3","GRIN1","red",0.335358149777491
"4","BMS1P14","red",0.334157761257799
"5","LINC00342","red",0.327573186692572
"6","LINC01278","red",0.310306646214415
"7","AC092683.2","red",0.296770610236396
"8","FRMD4A","red",0.291881742090761
"9","MYT1L","red",0.279671807182556
"10","DOCK3","red",0.278350685794149
"11","MEG3","blue",0.561445811922331
"12","WSB1","blue",0.50559784108989
"13","RSRP1","blue",0.461572860782159
"14","DDX17","blue",0.460893136140933
"15","SLC25A27","blue",0.454786535047264
"16","HMGN3","blue",0.448798981924236
"17","LANCL1","blue",0.443790693987819
"18","CLIP4","blue",0.44116373912927
"19","SDHA","blue",0.420715062803114
"20","OGA","blue",0.419557371861538
"21","AEBP2","green",0.412141719039903
"22","UNC80","green",0.402751054117322
"23","AC024901.1","green",0.379641687242897
"24","TRMT11","green",0.365294542189557
"25","SLC25A12","green",0.351655315839618
"26","SRGAP3","green",0.34906629326109
"27","MEF2C-AS1","green",0.348685944289969
"28","SNHG27","green",0.34588711442604
"29","ZNF248","green",0.341084226916623
"30","NBAS","green",0.327632744397404
"31","MT-CO1","lightcyan",0.85599916493158
"32","MT-CO3","lightcyan",0.84136880332901
"33","MT-CO2","lightcyan",0.83016532508161
"34","MT-CYB","lightcyan",0.794526427928375
"35","MT-ND1","lightcyan",0.790020162226409
"36","MT-ATP6","lightcyan",0.786397418480378
"37","DHFR","lightcyan",0.782735257779796
"38","MTRNR2L12","lightcyan",0.767108190804003
"39","MT-ND4","lightcyan",0.762600032709646
"40","MT-ND4L","lightcyan",0.759510751766049
"41","FBXL7","yellow",0.778118257267819
"42","SV2C","yellow",0.731071703942761
"43","NTNG1","yellow",0.714586207304668
"44","EYA4","yellow",0.683672313253392
"45","LAMP5","yellow",0.665377649667262
"46","FGF13","yellow",0.660543915556621
"47","AC132803.1","yellow",0.650212390251134
"48","CACNA2D1","yellow",0.63753594947785
"49","PRELID2","yellow",0.625519247862874
"50","TRPC3","yellow",0.622696898101354
"51","GAPDH","turquoise",0.708633122525129
"52","CALM1","turquoise",0.700055810819048
"53","VAMP2","turquoise",0.680204586320156
"54","HSP90AB1","turquoise",0.673698546717008
"55","ATP6V0C","turquoise",0.670111129294155
"56","SNAP25","turquoise",0.665832083238624
"57","RAB3A","turquoise",0.653159493843118
"58","PCSK1N","turquoise",0.640455039873673
"59","PEBP1","turquoise",0.630233333169644
